,Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins
15,Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,19:15,26h 35m,2 stops,No info,14011.0,3,3,16,40,19,15,1595
16,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5830.0,4,15,8,45,13,15,270
17,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35,22h 35m,1 stop,In-flight meal not included,10262.0,6,12,14,0,12,35,1355
18,Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,19:15,23h,2 stops,No info,13381.0,6,12,20,15,19,15,1380
19,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,16:00,12:35,20h 35m,1 stop,In-flight meal not included,12898.0,5,27,16,0,12,35,1235
20,GoAir,Delhi,Cochin,DEL ? BOM ? COK,14:10,19:20,5h 10m,1 stop,No info,19495.0,3,6,14,10,19,20,310
21,Air India,Banglore,New Delhi,BLR ? COK ? DEL,22:00,13:20,15h 20m,1 stop,No info,6955.0,3,21,22,0,13,20,920
22,IndiGo,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,4,3,4,0,6,50,170
23,IndiGo,Banglore,Delhi,BLR ? DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0,5,1,18,55,21,50,175
24,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,08:15,13h 20m,1 stop,In-flight meal not included,7757.0,5,6,18,55,8,15,800
25,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,12:35,15h 10m,2 stops,No info,13292.0,6,9,21,25,12,35,910
26,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35,5h 45m,1 stop,No info,8238.0,6,1,21,50,3,35,345
27,GoAir,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,5h 55m,1 stop,No info,7682.0,5,15,7,0,12,55,355
28,Vistara,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,4668.0,6,18,9,45,12,35,170
29,Vistara,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,6,15,7,5,9,20,135
30,Vistara,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,6,18,7,5,9,20,135
31,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,2 stops,No info,13227.0,5,1,9,50,23,15,805
32,IndiGo,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,4423.0,4,6,4,0,6,50,170
33,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35,22h,2 stops,In-flight meal not included,10919.0,6,15,14,35,12,35,1320
34,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373.0,5,18,7,5,12,35,330
35,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894.0,6,27,10,35,21,0,625
36,SpiceJet,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,5h 15m,1 stop,No info,4649.0,5,21,15,5,20,20,315
37,Air India,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245.0,5,18,14,15,16,45,150
38,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,13:15,6h 15m,1 stop,No info,19225.0,3,6,7,0,13,15,375
39,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,14924.0,6,3,7,5,19,0,715
40,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,07:05,18:10,11h 5m,1 stop,No info,9646.0,5,21,7,5,18,10,665
41,Air India,Banglore,New Delhi,BLR ? BOM ? DEL,06:45,15:15,8h 30m,1 stop,No info,8714.0,3,15,6,45,15,15,510
42,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00,22h 5m,1 stop,In-flight meal not included,12373.0,5,18,20,55,19,0,1325
43,Air Asia,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383.0,5,6,11,10,13,55,165
44,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13062.0,3,21,9,0,21,0,720
45,SpiceJet,Banglore,New Delhi,BLR ? DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527.0,3,24,5,45,8,35,170
46,IndiGo,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,5,27,4,0,6,50,170
47,Air India,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,5,3,11,40,13,55,135
48,Air India,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,11:05,16h 5m,1 stop,No info,6117.0,5,15,19,0,11,5,965
49,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00,19h 55m,2 stops,In-flight meal not included,11150.0,6,27,23,5,19,0,1195
50,Jet Airways,Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.0,3,9,11,0,14,15,195
51,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55,25h 20m,1 stop,No info,12121.0,5,1,9,35,10,55,1520
52,IndiGo,Banglore,New Delhi,BLR ? DEL,22:20,01:10,2h 50m,non-stop,No info,4377.0,3,24,22,20,1,10,170
53,IndiGo,Banglore,Delhi,BLR ? DEL,21:15,00:15,3h,non-stop,No info,3943.0,6,18,21,15,0,15,180
54,Air Asia,Banglore,Delhi,BLR ? DEL,23:55,02:45,2h 50m,non-stop,No info,4483.0,4,3,23,55,2,45,170
55,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,12:00,16h 15m,1 stop,No info,14231.0,3,24,19,45,12,0,975
56,Air India,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,08:50,23:55,15h 5m,2 stops,No info,17345.0,3,1,8,50,23,55,905
57,Vistara,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,7414.0,3,6,7,5,9,20,135
58,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30,6h 30m,1 stop,No info,8073.0,5,6,19,0,1,30,390
59,Vistara,Mumbai,Hyderabad,BOM ? DEL ? HYD,15:40,16:45,25h 5m,1 stop,No info,12395.0,3,6,15,40,16,45,1505
60,Air India,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,8366.0,6,6,9,25,21,50,745
61,Air India,Delhi,Cochin,DEL ? MAA ? COK,06:05,09:25,27h 20m,1 stop,No info,5117.0,4,3,6,5,9,25,1640
62,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,10h 15m,1 stop,No info,12524.0,6,3,8,45,19,0,615
63,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30,10h 30m,1 stop,No info,7191.0,5,15,15,0,1,30,630
64,Vistara,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,5,24,7,5,9,20,135
65,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894.0,6,24,10,35,21,0,625
66,Vistara,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,5403.0,4,24,9,45,12,35,170
67,Air India,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,3625.0,5,6,13,55,15,25,90
68,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,10861.0,5,21,5,55,19,15,800
69,IndiGo,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,non-stop,No info,6297.0,3,12,13,20,15,35,135
70,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,5678.0,6,1,7,5,8,30,85
71,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,08:15,26h 30m,1 stop,In-flight meal not included,9134.0,3,9,5,45,8,15,1590
72,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791.0,6,24,11,40,19,0,440
73,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,12:35,13h 30m,2 stops,No info,12819.0,6,24,23,5,12,35,810
74,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,05:05,10:05,5h,1 stop,No info,6893.0,3,21,5,5,10,5,300
75,Vistara,Banglore,New Delhi,BLR ? DEL,09:50,12:35,2h 45m,non-stop,No info,7240.0,3,9,9,50,12,35,165
76,GoAir,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898.0,4,3,11,40,14,30,170
77,IndiGo,Mumbai,Hyderabad,BOM ? HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0,4,3,6,25,7,55,90
78,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35,19h 5m,1 stop,In-flight meal not included,10262.0,6,15,17,30,12,35,1145
79,SpiceJet,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332.0,3,21,8,20,10,35,135
80,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00,14h 50m,1 stop,In-flight meal not included,10844.0,6,9,21,10,12,0,890
81,Jet Airways,Banglore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,non-stop,No info,7229.0,3,24,19,55,22,35,160
82,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40,22h 10m,1 stop,No info,13941.0,5,6,6,30,4,40,1330
83,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,11:25,21:00,9h 35m,1 stop,No info,5894.0,6,27,11,25,21,0,575
84,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,10197.0,5,18,9,0,19,0,600
85,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,11:25,21h 20m,1 stop,In-flight meal not included,13712.0,3,6,14,5,11,25,1280
86,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636.0,6,24,2,0,7,25,325
87,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25,18h 45m,2 stops,No info,13014.0,6,6,9,40,4,25,1125
88,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064.0,4,1,8,25,20,45,740
89,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,14:25,18h,1 stop,In-flight meal not included,10703.0,5,24,20,25,14,25,1080
90,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,9646.0,5,27,13,15,22,30,555
91,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,02:15,13:20,11h 5m,1 stop,No info,17057.0,3,6,2,15,13,20,665
92,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,10:25,17h 30m,1 stop,No info,13817.0,3,12,16,55,10,25,1050
93,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,13748.0,3,6,5,55,19,15,800
94,Air India,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4880.0,4,21,20,45,23,20,155
95,IndiGo,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,6,21,5,15,7,40,145
96,SpiceJet,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.0,5,15,5,55,8,35,160
97,Jet Airways,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478.0,6,3,19,50,22,50,180
98,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,8040.0,6,18,7,5,8,30,85
99,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,12:35,16h 35m,2 stops,No info,14300.0,6,12,20,0,12,35,995
100,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,No info,14781.0,5,15,8,25,20,45,740
101,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15,12h 15m,1 stop,No info,14939.0,6,9,20,0,8,15,735
102,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25,7h 30m,1 stop,In-flight meal not included,10262.0,6,24,20,55,4,25,450
103,Air India,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,14:35,24h,1 stop,No info,6528.0,5,12,14,35,14,35,1440
104,Air India,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,6121.0,5,1,6,10,8,55,165
105,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25,8h 55m,2 stops,In-flight meal not included,13029.0,5,18,19,30,4,25,535
106,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:40,18:50,7h 10m,1 stop,No info,11421.0,3,27,11,40,18,50,430
107,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,04:45,19:15,14h 30m,1 stop,No info,7574.0,3,27,4,45,19,15,870
108,Air India,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15,30h 20m,2 stops,No info,11596.0,5,9,12,55,19,15,1820
109,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00,19h 55m,2 stops,No info,15129.0,5,24,23,5,19,0,1195
110,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,05:05,15h,1 stop,No info,13555.0,3,18,14,5,5,5,900
111,IndiGo,Banglore,Delhi,BLR ? DEL,18:55,21:50,2h 55m,non-stop,No info,5780.0,4,12,18,55,21,50,175
112,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05,12h 45m,1 stop,No info,9397.0,5,12,20,20,9,5,765
113,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,18:15,04:25,10h 10m,1 stop,No info,17024.0,3,6,18,15,4,25,610
114,GoAir,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,5h 55m,1 stop,No info,5281.0,6,27,7,0,12,55,355
115,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,15h 25m,1 stop,No info,10348.0,5,18,7,5,22,30,925
116,Air India,Delhi,Cochin,DEL ? MAA ? COK,17:20,09:25,16h 5m,1 stop,No info,12677.0,3,6,17,20,9,25,965
117,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,15:25,01:35,10h 10m,1 stop,No info,15147.0,3,3,15,25,1,35,610
118,Vistara,Banglore,Delhi,BLR ? DEL,07:00,09:40,2h 40m,non-stop,No info,4668.0,6,12,7,0,9,40,160
119,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,15554.0,5,9,7,5,19,0,715
120,SpiceJet,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,3971.0,4,9,5,55,8,35,160
121,Air India,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,3100.0,5,3,15,0,16,25,85
122,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05,14h 5m,1 stop,In-flight meal not included,9663.0,5,6,20,0,10,5,845
123,Air India,Delhi,Cochin,DEL ? BOM ? COK,23:00,19:15,20h 15m,1 stop,No info,27430.0,3,1,23,0,19,15,1215
124,IndiGo,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,5,12,5,15,7,40,145
125,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,11:10,23h 10m,2 stops,No info,10676.0,5,21,12,0,11,10,1390
126,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,08:15,18h 10m,1 stop,No info,13044.0,6,12,14,5,8,15,1090
127,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00,16h,1 stop,No info,14388.0,5,6,20,0,12,0,960
128,IndiGo,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,6,24,4,0,6,50,170
129,IndiGo,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3597.0,6,3,14,45,17,5,140
130,Air India,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,19:50,8h,1 stop,No info,5932.0,3,21,11,50,19,50,480
131,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,11:30,04:25,16h 55m,1 stop,In-flight meal not included,10262.0,6,15,11,30,4,25,1015
132,Vistara,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216.0,5,12,14,40,17,50,190
133,IndiGo,Kolkata,Banglore,CCU ? BLR,20:25,23:10,2h 45m,non-stop,No info,4804.0,6,15,20,25,23,10,165
134,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:30,01:30,14h,1 stop,No info,14067.0,5,21,11,30,1,30,840
135,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,19:00,23h 50m,2 stops,No info,15129.0,5,18,19,10,19,0,1430
136,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,04:25,21h 40m,2 stops,No info,13376.0,6,6,6,45,4,25,1300
137,Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15,21h 15m,2 stops,No info,10441.0,6,27,22,0,19,15,1275
138,Jet Airways,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030.0,5,24,6,0,8,45,165
139,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,08:00,18:50,10h 50m,1 stop,No info,17024.0,3,3,8,0,18,50,650
140,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30,8h,1 stop,No info,13017.0,4,9,17,30,1,30,480
141,GoAir,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,07:45,8h 15m,1 stop,No info,6686.0,6,6,23,30,7,45,495
142,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636.0,6,15,2,0,7,25,325
143,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,6442.0,6,9,7,35,16,10,515
144,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,13:05,00:55,11h 50m,1 stop,No info,9486.0,5,21,13,5,0,55,710
145,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,23:35,27h 35m,1 stop,In-flight meal not included,10844.0,5,21,20,0,23,35,1655
146,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,04:25,8h 25m,2 stops,In-flight meal not included,15318.0,6,3,20,0,4,25,505
147,Air India,Delhi,Cochin,DEL ? MAA ? COK,12:30,09:25,20h 55m,1 stop,No info,5117.0,4,3,12,30,9,25,1255
148,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,4h 50m,1 stop,No info,6147.0,6,24,15,10,20,0,290
149,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7005.0,6,9,12,50,21,0,490
150,SpiceJet,Kolkata,Banglore,CCU ? BLR,22:20,00:40,2h 20m,non-stop,No info,3873.0,4,3,22,20,0,40,140
151,Jet Airways,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,18:50,24h 25m,2 stops,In-flight meal not included,9270.0,3,21,18,25,18,50,1465
152,GoAir,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898.0,6,27,11,40,14,30,170
153,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,No info,14781.0,5,12,8,25,20,45,740
154,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15,12h 15m,1 stop,In-flight meal not included,8586.0,5,24,20,0,8,15,735
155,Air India,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,07:55,23h 35m,2 stops,No info,10697.0,5,9,8,20,7,55,1415
156,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,12:35,16h 35m,2 stops,No info,14300.0,6,27,20,0,12,35,995
157,IndiGo,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,8855.0,3,3,18,55,21,45,170
158,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15,25h 45m,1 stop,In-flight meal not included,10844.0,5,12,16,30,18,15,1545
159,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,02:15,04:25,26h 10m,1 stop,No info,17024.0,3,6,2,15,4,25,1570
160,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25,28h 50m,1 stop,In-flight meal not included,9314.0,5,1,9,35,14,25,1730
161,IndiGo,Banglore,New Delhi,BLR ? DEL,00:40,03:25,2h 45m,non-stop,No info,4777.0,3,24,0,40,3,25,165
162,Air India,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,13:15,25h 15m,1 stop,No info,7662.0,6,9,12,0,13,15,1515
163,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,6442.0,5,9,6,50,16,10,560
164,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264.0,6,12,8,45,13,15,270
165,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25,15h 25m,1 stop,In-flight meal not included,12898.0,5,27,13,0,4,25,925
166,Air India,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,6092.0,3,3,13,55,15,25,90
167,SpiceJet,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,3311.0,5,21,5,55,8,35,160
168,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25,9h 10m,1 stop,In-flight meal not included,6540.0,3,27,19,15,4,25,550
169,IndiGo,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,3419.0,5,27,1,30,4,15,165
170,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35,22h 35m,1 stop,In-flight meal not included,5177.0,4,3,14,0,12,35,1355
171,Air India,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8246.0,4,18,18,5,21,10,185
172,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,11h 30m,1 stop,No info,14676.0,6,9,9,35,21,5,690
173,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,No info,13587.0,6,27,11,30,21,0,570
174,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20,12h 10m,1 stop,In-flight meal not included,9663.0,5,6,21,10,9,20,730
175,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,10:05,17h 35m,1 stop,No info,13044.0,6,12,16,30,10,5,1055
176,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,20:25,01:30,5h 5m,1 stop,No info,5073.0,4,3,20,25,1,30,305
177,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50,25h 50m,1 stop,No info,9345.0,5,21,17,0,18,50,1550
178,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05,20h,1 stop,In-flight meal not included,9663.0,5,6,14,5,10,5,1200
179,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,14277.0,5,21,8,0,21,0,780
180,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,10:00,04:25,18h 25m,1 stop,In-flight meal not included,10262.0,6,1,10,0,4,25,1105
181,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678.0,3,27,19,35,21,5,90
182,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,16:00,01:30,9h 30m,1 stop,No info,13727.0,5,15,16,0,1,30,570
183,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00,16h,1 stop,In-flight meal not included,9663.0,5,6,20,0,12,0,960
184,IndiGo,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3858.0,5,12,14,45,17,5,140
185,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,4812.0,6,24,8,45,13,15,270
186,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35,5h 45m,1 stop,No info,5775.0,6,27,21,50,3,35,345
