,Total_Stops,Additional_Info,Route1,Route2,Route3,Route4,Route5,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Banglore,Chennai,Delhi,Kolkata,Mumbai,Banglore,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute
27,1,8,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.08017426775816237,5,15,7,0,12,55,355,0.025202155985542634
28,0,8,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-1.056058861962852,6,18,9,45,12,35,170,0.04969823644100552
29,0,8,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1.5181926252863855,6,15,7,5,9,20,135,0.06083584877538136
30,0,8,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1.5181926252863855,6,18,7,5,9,20,135,0.06083584877538136
31,2,8,2,15,9,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.9843915780774584,5,1,9,50,23,15,805,0.011788933011306438
32,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.1616691672037076,4,6,4,0,6,50,170,0.049381173783542176
33,2,5,3,34,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.6087059275379955,6,15,14,35,12,35,1320,0.007044205491893103
34,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.853627815620424,5,18,7,5,12,35,330,0.028555614473002828
35,1,8,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.5992172910572854,6,27,10,35,21,0,625,0.013890975700754354
36,1,8,2,33,3,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1.0640485011647263,5,21,15,5,20,20,315,0.026808325392321912
37,0,8,2,5,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.485894836367499,5,18,14,15,16,45,150,0.05826464358562016
38,1,8,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.7170473231419803,3,6,7,0,13,15,375,0.026304050156335364
39,1,8,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2208889171387896,6,3,7,5,19,0,715,0.013441668445120004
40,1,8,3,20,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.36584634015776496,5,21,7,5,18,10,665,0.013796093631835418
41,1,8,0,7,8,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.16677369973721026,3,15,6,45,15,15,510,0.01778980579991004
42,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.853627815620424,5,18,20,55,19,0,1325,0.007111964359313912
43,0,8,0,13,29,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.6867475026816032,5,6,11,10,13,55,165,0.04925341648924918
44,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9597978244674032,3,21,9,0,21,0,720,0.01316324872984245
45,0,7,0,13,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.6050960561285277,3,24,5,45,8,35,170,0.048049920100745186
46,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.386698351984509,5,27,4,0,6,50,170,0.048705592445426625
47,0,8,4,8,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.0564785580493856,5,3,11,40,13,55,135,0.06258137772893664
48,1,8,2,20,3,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.5264651874755218,5,15,19,0,11,5,965,0.009035223341669273
49,2,5,3,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.649721436441864,6,27,23,5,19,0,1195,0.007798564400807834
50,0,5,3,10,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.20657689063703474,3,9,11,0,14,15,195,0.04555001479430443
51,1,8,2,14,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8133131589635473,5,1,9,35,10,55,1520,0.0061860376727047575
52,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.1821488251204564,3,24,22,20,1,10,170,0.049319689871075344
53,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.386698351984509,6,18,21,15,0,15,180,0.04599972619845848
54,0,8,0,13,29,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.135274275375355,4,3,23,55,2,45,170,0.04946041637760029
55,1,8,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1277321359804555,3,24,19,45,12,0,975,0.009808459722405816
56,2,8,0,7,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.5154269576622006,3,1,8,50,23,55,905,0.010785764874303204
57,0,8,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.14974126683858058,3,6,7,5,9,20,135,0.0660093352190521
58,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.01708582116918635,5,6,19,0,1,30,390,0.023067703336956118
59,1,8,1,14,13,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.857108295001073,3,6,15,40,16,45,1505,0.0062625442650549095
60,1,8,2,7,3,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.08692958759048051,6,6,9,25,21,50,745,0.012123557954759194
61,1,8,3,33,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8761535459131288,4,3,6,5,9,25,1640,0.0052076335467803265
62,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.877393079624041,6,3,8,45,19,0,615,0.015342247034070024
63,1,8,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.20957138415457188,5,15,15,0,1,30,630,0.014096388216113422
64,0,8,4,8,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1.5181926252863855,5,24,7,5,9,20,135,0.06083584877538136
65,1,8,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.5992172910572854,6,24,10,35,21,0,625,0.013890975700754354
66,0,8,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-0.7696124889256793,4,24,9,45,12,35,170,0.05055820411223582
67,0,8,1,19,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.5514118439281506,5,6,13,55,15,25,90,0.09106539323683106
68,2,8,3,4,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5982713818958231,5,21,5,55,19,15,800,0.011616282173243488
69,0,8,4,8,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.46965012262489114,3,12,13,20,15,35,135,0.06479990667897015
70,0,8,1,19,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.6723586419972314,6,1,7,5,8,30,85,0.10170035811620508
71,1,5,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2589954823227716,3,9,5,45,8,15,1590,0.005735766332586231
72,1,5,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5856035090006544,6,24,11,40,19,0,440,0.02110581908610816
73,2,8,3,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9230063919086594,6,24,23,5,12,35,810,0.011677483617869952
74,1,8,3,6,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.29248687216901154,3,21,5,5,10,5,300,0.02946135582358937
75,0,8,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.196267348081942,3,9,9,50,12,35,165,0.05386372483265952
76,0,8,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.4091825468870394,4,3,11,40,14,30,170,0.04863809052342705
77,0,8,1,19,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.3347335288463567,4,3,6,25,7,55,90,0.09229413511222871
78,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.4871266675083121,6,15,17,30,12,35,1145,0.008066637968249532
79,0,7,4,8,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.7165015089589855,3,21,8,20,10,35,135,0.06008613391339067
80,1,5,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5952024201100283,6,9,21,10,12,0,890,0.010439842048607836
81,0,8,0,13,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.19924611486357646,3,24,19,55,22,35,160,0.05553746446970507
82,1,8,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.087394810179866,5,6,6,30,4,40,1330,0.007174933192516048
83,1,8,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.5992172910572854,6,27,11,25,21,0,575,0.015098886631254731
84,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.47467778870065913,5,18,9,0,19,0,600,0.015383244836025168
85,1,5,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0549448608569179,3,6,14,5,11,25,1280,0.007442265286718636
86,1,8,3,33,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.68690320317198,6,24,2,0,7,25,325,0.02657571473255869
87,2,8,3,28,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9525849275819283,6,6,9,40,4,25,1125,0.00842120694882548
88,1,5,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.24447973528557249,4,1,8,25,20,45,740,0.011976903101511659
89,1,5,2,14,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5695610949325037,5,24,20,25,14,25,1080,0.008591085909600008
90,1,8,3,20,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.36584634015776496,5,27,13,15,22,30,555,0.016530454531838833
91,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.4826222652253749,3,6,2,15,13,20,665,0.014653194858464745
92,1,8,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0698904037448906,3,12,16,55,10,25,1050,0.00907974035147499
93,2,8,3,4,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0600818998645973,3,6,5,55,19,15,800,0.011910901716471543
94,0,8,2,5,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.9690534794832324,4,21,20,45,23,20,155,0.05479422836056224
95,0,8,4,8,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.59788949396779,6,21,5,15,7,40,145,0.05635975484215106
96,0,7,0,13,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.7610949488316419,5,15,5,55,8,35,160,0.05055542993226244
97,0,5,0,13,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.414133759152824,6,3,19,50,22,50,180,0.04875734142472199
98,0,8,1,19,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.009061163512071303,6,18,7,5,8,30,85,0.10579186744174293
99,2,8,3,1,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.1372085663901932,6,12,20,0,12,35,995,0.009616165571731594
100,1,8,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2020253912481582,5,15,8,25,20,45,740,0.012974547977493017
101,1,8,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2228571254132705,6,9,20,0,8,15,735,0.013077275453995658
102,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.4871266675083121,6,24,20,55,4,25,450,0.020525112163657145
103,1,8,2,33,3,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.3990710222049053,5,12,14,35,14,35,1440,0.006100006299435161
104,0,8,0,13,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.5251845657485713,5,1,6,10,8,55,165,0.05284632799700217
105,2,5,3,28,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9548418115010496,5,18,19,30,4,25,535,0.017710298448820355
106,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.6967696516130937,3,27,11,40,18,50,430,0.021728596742383276
107,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.10791230167334412,3,27,4,45,19,15,870,0.0102673662418133
108,2,8,3,29,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.726561828624964,5,9,12,55,19,15,1820,0.0051420339137124745
109,2,8,3,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2476181282214753,5,24,23,5,19,0,1195,0.008053920340403684
110,1,8,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0323828649530815,3,18,14,5,5,5,900,0.010571760591918826
111,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.637479218389512,4,12,18,55,21,50,175,0.049499039754757
112,1,8,2,14,3,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.3146091394574816,5,12,20,20,9,5,765,0.011958499581258511
113,1,8,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.478828079919096,3,6,18,15,4,25,610,0.01597121005084871
114,1,8,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.814353501401979,6,27,7,0,12,55,355,0.024146648148893175
115,1,8,3,20,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5034768692000574,5,18,7,5,22,30,925,0.00999421100072235
116,1,8,3,33,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9011826611917156,3,6,17,20,9,25,965,0.009790283406056074
117,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2499477619660817,3,3,15,25,1,35,610,0.01577971112954375
118,0,8,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-1.056058861962852,6,12,7,0,9,40,160,0.05280437621856836
119,1,8,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.3018972550074115,5,9,7,5,19,0,715,0.013499492880184248
120,0,8,0,13,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.3728372954837509,4,9,5,55,8,35,160,0.05179390640728164
121,0,8,1,19,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.8578650892944468,5,3,15,0,16,25,85,0.0945821166952994
122,1,5,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3692960816042787,5,6,20,0,10,5,845,0.010859364402573487
123,1,8,3,7,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.413420776113869,3,1,23,0,19,15,1215,0.008411052707573408
124,0,8,4,8,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.59788949396779,5,12,5,15,7,40,145,0.05635975484215106
125,2,8,2,2,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.564612541564763,5,21,12,0,11,10,1390,0.006673271348329714
126,1,8,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.9570960988129829,6,12,14,5,8,15,1090,0.008693724951899844
127,1,8,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.1492283254636413,5,6,20,0,12,0,960,0.00997314510912856
128,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.386698351984509,6,24,4,0,6,50,170,0.048705592445426625
129,0,8,4,8,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.5666006887687702,6,3,14,45,17,5,140,0.058486667246503414
130,1,8,0,33,8,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.586627571625313,3,21,11,50,19,50,480,0.01810059430470551
131,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.4871266675083121,6,15,11,30,4,25,1015,0.009099803422311049
132,0,8,3,10,29,13,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.4950132326690955,5,12,14,40,17,50,190,0.04597390923299651
133,0,8,2,5,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.999801723370917,6,15,20,25,23,10,165,0.051378256493359954
134,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.1050227939707882,5,21,11,30,1,30,840,0.011371021420945086
135,2,8,3,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2476181282214753,5,18,19,10,19,0,1430,0.006730373990756924
136,2,8,3,34,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0063383081680628,6,6,6,45,4,25,1300,0.007308686225611989
137,2,8,3,16,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5210056917070478,6,27,22,0,19,15,1275,0.007257718756055292
138,0,5,0,13,29,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.3439471758893091,5,24,6,0,8,45,165,0.050313756140104034
139,1,8,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.478828079919096,3,3,8,0,18,50,650,0.014988366355411868
140,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9530365123814887,4,9,17,30,1,30,480,0.019737683946109027
141,1,8,2,7,3,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.3522198969770285,6,6,23,30,7,45,495,0.01779377903445248
