,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6
20,GoAir,Delhi,Cochin,1 stop,No info,19495,3,6,14,10,19,20,310,62.88709677419355,DEL,BOM,COK,None,None,None
21,Air India,Banglore,New Delhi,1 stop,No info,6955,3,21,22,0,13,20,920,7.559782608695652,BLR,COK,DEL,None,None,None
22,IndiGo,Banglore,Delhi,non-stop,No info,3943,4,3,4,0,6,50,170,23.194117647058825,BLR,DEL,None,None,None,None
23,IndiGo,Banglore,Delhi,non-stop,No info,4823,5,1,18,55,21,50,175,27.56,BLR,DEL,None,None,None,None
24,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7757,5,6,18,55,8,15,800,9.69625,CCU,BOM,BLR,None,None,None
25,Jet Airways,Delhi,Cochin,2 stops,No info,13292,6,9,21,25,12,35,910,14.606593406593406,DEL,IDR,BOM,COK,None,None
26,IndiGo,Delhi,Cochin,1 stop,No info,8238,6,1,21,50,3,35,345,23.878260869565217,DEL,LKO,COK,None,None,None
27,GoAir,Delhi,Cochin,1 stop,No info,7682,5,15,7,0,12,55,355,21.63943661971831,DEL,BOM,COK,None,None,None
28,Vistara,Banglore,Delhi,non-stop,No info,4668,6,18,9,45,12,35,170,27.458823529411763,BLR,DEL,None,None,None,None
29,Vistara,Chennai,Kolkata,non-stop,No info,3687,6,15,7,5,9,20,135,27.31111111111111,MAA,CCU,None,None,None,None
30,Vistara,Chennai,Kolkata,non-stop,No info,3687,6,18,7,5,9,20,135,27.31111111111111,MAA,CCU,None,None,None,None
31,Air India,Kolkata,Banglore,2 stops,No info,13227,5,1,9,50,23,15,805,16.431055900621118,CCU,GAU,DEL,BLR,None,None
32,IndiGo,Banglore,Delhi,non-stop,No info,4423,4,6,4,0,6,50,170,26.01764705882353,BLR,DEL,None,None,None,None
33,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10919,6,15,14,35,12,35,1320,8.271969696969697,DEL,NAG,BOM,COK,None,None
34,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,18,7,5,12,35,330,37.49393939393939,DEL,BOM,COK,None,None,None
35,IndiGo,Delhi,Cochin,1 stop,No info,5894,6,27,10,35,21,0,625,9.4304,DEL,BOM,COK,None,None,None
36,SpiceJet,Kolkata,Banglore,1 stop,No info,4649,5,21,15,5,20,20,315,14.75873015873016,CCU,MAA,BLR,None,None,None
37,Air India,Kolkata,Banglore,non-stop,No info,6245,5,18,14,15,16,45,150,41.63333333333333,CCU,BLR,None,None,None,None
38,Jet Airways,Banglore,New Delhi,1 stop,No info,19225,3,6,7,0,13,15,375,51.266666666666666,BLR,BOM,DEL,None,None,None
39,Jet Airways,Delhi,Cochin,1 stop,No info,14924,6,3,7,5,19,0,715,20.87272727272727,DEL,BOM,COK,None,None,None
40,Multiple carriers,Delhi,Cochin,1 stop,No info,9646,5,21,7,5,18,10,665,14.505263157894737,DEL,HYD,COK,None,None,None
41,Air India,Banglore,New Delhi,1 stop,No info,8714,3,15,6,45,15,15,510,17.08627450980392,BLR,BOM,DEL,None,None,None
42,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,18,20,55,19,0,1325,9.33811320754717,DEL,BOM,COK,None,None,None
43,Air Asia,Banglore,Delhi,non-stop,No info,3383,5,6,11,10,13,55,165,20.503030303030304,BLR,DEL,None,None,None,None
44,Multiple carriers,Delhi,Cochin,1 stop,No info,13062,3,21,9,0,21,0,720,18.141666666666666,DEL,BOM,COK,None,None,None
45,SpiceJet,Banglore,New Delhi,non-stop,No check-in baggage included,3527,3,24,5,45,8,35,170,20.74705882352941,BLR,DEL,None,None,None,None
46,IndiGo,Banglore,Delhi,non-stop,No info,3943,5,27,4,0,6,50,170,23.194117647058825,BLR,DEL,None,None,None,None
47,Air India,Chennai,Kolkata,non-stop,No info,4667,5,3,11,40,13,55,135,34.57037037037037,MAA,CCU,None,None,None,None
48,Air India,Kolkata,Banglore,1 stop,No info,6117,5,15,19,0,11,5,965,6.338860103626943,CCU,HYD,BLR,None,None,None
49,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11150,6,27,23,5,19,0,1195,9.330543933054393,DEL,AMD,BOM,COK,None,None
50,Jet Airways,Delhi,Cochin,non-stop,In-flight meal not included,7202,3,9,11,0,14,15,195,36.93333333333333,DEL,COK,None,None,None,None
51,Jet Airways,Kolkata,Banglore,1 stop,No info,12121,5,1,9,35,10,55,1520,7.974342105263158,CCU,DEL,BLR,None,None,None
52,IndiGo,Banglore,New Delhi,non-stop,No info,4377,3,24,22,20,1,10,170,25.74705882352941,BLR,DEL,None,None,None,None
53,IndiGo,Banglore,Delhi,non-stop,No info,3943,6,18,21,15,0,15,180,21.905555555555555,BLR,DEL,None,None,None,None
54,Air Asia,Banglore,Delhi,non-stop,No info,4483,4,3,23,55,2,45,170,26.370588235294118,BLR,DEL,None,None,None,None
55,Jet Airways,Kolkata,Banglore,1 stop,No info,14231,3,24,19,45,12,0,975,14.595897435897436,CCU,BOM,BLR,None,None,None
56,Air India,Banglore,New Delhi,2 stops,No info,17345,3,1,8,50,23,55,905,19.165745856353592,BLR,BOM,AMD,DEL,None,None
57,Vistara,Chennai,Kolkata,non-stop,No info,7414,3,6,7,5,9,20,135,54.91851851851852,MAA,CCU,None,None,None,None
58,Multiple carriers,Delhi,Cochin,1 stop,No info,8073,5,6,19,0,1,30,390,20.7,DEL,BOM,COK,None,None,None
59,Vistara,Mumbai,Hyderabad,1 stop,No info,12395,3,6,15,40,16,45,1505,8.235880398671096,BOM,DEL,HYD,None,None,None
60,Air India,Kolkata,Banglore,1 stop,No info,8366,6,6,9,25,21,50,745,11.229530201342282,CCU,BOM,BLR,None,None,None
61,Air India,Delhi,Cochin,1 stop,No info,5117,4,3,6,5,9,25,1640,3.120121951219512,DEL,MAA,COK,None,None,None
62,Multiple carriers,Delhi,Cochin,1 stop,No info,12524,6,3,8,45,19,0,615,20.364227642276422,DEL,BOM,COK,None,None,None
63,IndiGo,Delhi,Cochin,1 stop,No info,7191,5,15,15,0,1,30,630,11.414285714285715,DEL,BOM,COK,None,None,None
64,Vistara,Chennai,Kolkata,non-stop,No info,3687,5,24,7,5,9,20,135,27.31111111111111,MAA,CCU,None,None,None,None
65,IndiGo,Delhi,Cochin,1 stop,No info,5894,6,24,10,35,21,0,625,9.4304,DEL,BOM,COK,None,None,None
66,Vistara,Banglore,Delhi,non-stop,No info,5403,4,24,9,45,12,35,170,31.78235294117647,BLR,DEL,None,None,None,None
67,Air India,Mumbai,Hyderabad,non-stop,No info,3625,5,6,13,55,15,25,90,40.27777777777778,BOM,HYD,None,None,None,None
68,Air India,Delhi,Cochin,2 stops,No info,10861,5,21,5,55,19,15,800,13.57625,DEL,BHO,BOM,COK,None,None
69,IndiGo,Chennai,Kolkata,non-stop,No info,6297,3,12,13,20,15,35,135,46.644444444444446,MAA,CCU,None,None,None,None
70,Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,6,1,7,5,8,30,85,66.8,BOM,HYD,None,None,None,None
71,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134,3,9,5,45,8,15,1590,5.744654088050314,BLR,BOM,DEL,None,None,None
72,Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,10791,6,24,11,40,19,0,440,24.525,DEL,BOM,COK,None,None,None
73,Jet Airways,Delhi,Cochin,2 stops,No info,12819,6,24,23,5,12,35,810,15.825925925925926,DEL,AMD,BOM,COK,None,None
74,IndiGo,Delhi,Cochin,1 stop,No info,6893,3,21,5,5,10,5,300,22.976666666666667,DEL,BLR,COK,None,None,None
75,Vistara,Banglore,New Delhi,non-stop,No info,7240,3,9,9,50,12,35,165,43.878787878787875,BLR,DEL,None,None,None,None
76,GoAir,Banglore,Delhi,non-stop,No info,3898,4,3,11,40,14,30,170,22.929411764705883,BLR,DEL,None,None,None,None
77,IndiGo,Mumbai,Hyderabad,non-stop,No info,4049,4,3,6,25,7,55,90,44.98888888888889,BOM,HYD,None,None,None,None
78,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,15,17,30,12,35,1145,8.962445414847162,DEL,BOM,COK,None,None,None
79,SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3332,3,21,8,20,10,35,135,24.68148148148148,MAA,CCU,None,None,None,None
80,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,6,9,21,10,12,0,890,12.184269662921348,CCU,BOM,BLR,None,None,None
81,Jet Airways,Banglore,New Delhi,non-stop,No info,7229,3,24,19,55,22,35,160,45.18125,BLR,DEL,None,None,None,None
82,Jet Airways,Kolkata,Banglore,1 stop,No info,13941,5,6,6,30,4,40,1330,10.481954887218045,CCU,BOM,BLR,None,None,None
83,IndiGo,Delhi,Cochin,1 stop,No info,5894,6,27,11,25,21,0,575,10.250434782608696,DEL,BOM,COK,None,None,None
84,Multiple carriers,Delhi,Cochin,1 stop,No info,10197,5,18,9,0,19,0,600,16.995,DEL,BOM,COK,None,None,None
85,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,13712,3,6,14,5,11,25,1280,10.7125,BLR,BOM,DEL,None,None,None
86,IndiGo,Delhi,Cochin,1 stop,No info,5636,6,24,2,0,7,25,325,17.341538461538462,DEL,MAA,COK,None,None,None
87,Jet Airways,Delhi,Cochin,2 stops,No info,13014,6,6,9,40,4,25,1125,11.568,DEL,JAI,BOM,COK,None,None
88,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064,4,1,8,25,20,45,740,9.545945945945945,CCU,BOM,BLR,None,None,None
89,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10703,5,24,20,25,14,25,1080,9.910185185185185,CCU,DEL,BLR,None,None,None
90,Multiple carriers,Delhi,Cochin,1 stop,No info,9646,5,27,13,15,22,30,555,17.38018018018018,DEL,HYD,COK,None,None,None
91,Multiple carriers,Delhi,Cochin,1 stop,No info,17057,3,6,2,15,13,20,665,25.649624060150376,DEL,BOM,COK,None,None,None
92,Jet Airways,Banglore,New Delhi,1 stop,No info,13817,3,12,16,55,10,25,1050,13.15904761904762,BLR,BOM,DEL,None,None,None
93,Air India,Delhi,Cochin,2 stops,No info,13748,3,6,5,55,19,15,800,17.185,DEL,BHO,BOM,COK,None,None
94,Air India,Kolkata,Banglore,non-stop,No info,4880,4,21,20,45,23,20,155,31.483870967741936,CCU,BLR,None,None,None,None
95,IndiGo,Chennai,Kolkata,non-stop,No info,3540,6,21,5,15,7,40,145,24.413793103448278,MAA,CCU,None,None,None,None
96,SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3257,5,15,5,55,8,35,160,20.35625,BLR,DEL,None,None,None,None
97,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,6478,6,3,19,50,22,50,180,35.98888888888889,BLR,DEL,None,None,None,None
98,Jet Airways,Mumbai,Hyderabad,non-stop,No info,8040,6,18,7,5,8,30,85,94.58823529411765,BOM,HYD,None,None,None,None
99,Jet Airways,Delhi,Cochin,2 stops,No info,14300,6,12,20,0,12,35,995,14.371859296482413,DEL,ATQ,BOM,COK,None,None
100,Jet Airways,Kolkata,Banglore,1 stop,No info,14781,5,15,8,25,20,45,740,19.974324324324325,CCU,BOM,BLR,None,None,None
101,Jet Airways,Kolkata,Banglore,1 stop,No info,14939,6,9,20,0,8,15,735,20.325170068027212,CCU,BOM,BLR,None,None,None
102,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,24,20,55,4,25,450,22.804444444444446,DEL,BOM,COK,None,None,None
103,Air India,Kolkata,Banglore,1 stop,No info,6528,5,12,14,35,14,35,1440,4.533333333333333,CCU,MAA,BLR,None,None,None
104,Air India,Banglore,Delhi,non-stop,No info,6121,5,1,6,10,8,55,165,37.096969696969694,BLR,DEL,None,None,None,None
105,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,13029,5,18,19,30,4,25,535,24.353271028037383,DEL,JAI,BOM,COK,None,None
106,Multiple carriers,Delhi,Cochin,1 stop,No info,11421,3,27,11,40,18,50,430,26.56046511627907,DEL,BOM,COK,None,None,None
107,Multiple carriers,Delhi,Cochin,1 stop,No info,7574,3,27,4,45,19,15,870,8.705747126436782,DEL,BOM,COK,None,None,None
108,Air India,Delhi,Cochin,2 stops,No info,11596,5,9,12,55,19,15,1820,6.371428571428571,DEL,JDH,BOM,COK,None,None
109,Jet Airways,Delhi,Cochin,2 stops,No info,15129,5,24,23,5,19,0,1195,12.660251046025104,DEL,AMD,BOM,COK,None,None
110,Jet Airways,Banglore,New Delhi,1 stop,No info,13555,3,18,14,5,5,5,900,15.061111111111112,BLR,BOM,DEL,None,None,None
111,IndiGo,Banglore,Delhi,non-stop,No info,5780,4,12,18,55,21,50,175,33.02857142857143,BLR,DEL,None,None,None,None
112,Vistara,Kolkata,Banglore,1 stop,No info,9397,5,12,20,20,9,5,765,12.283660130718955,CCU,DEL,BLR,None,None,None
113,Jet Airways,Delhi,Cochin,1 stop,No info,17024,3,6,18,15,4,25,610,27.908196721311477,DEL,BOM,COK,None,None,None
114,GoAir,Delhi,Cochin,1 stop,No info,5281,6,27,7,0,12,55,355,14.87605633802817,DEL,BOM,COK,None,None,None
115,Multiple carriers,Delhi,Cochin,1 stop,No info,10348,5,18,7,5,22,30,925,11.187027027027026,DEL,HYD,COK,None,None,None
116,Air India,Delhi,Cochin,1 stop,No info,12677,3,6,17,20,9,25,965,13.13678756476684,DEL,MAA,COK,None,None,None
117,Multiple carriers,Delhi,Cochin,1 stop,No info,15147,3,3,15,25,1,35,610,24.831147540983608,DEL,BOM,COK,None,None,None
118,Vistara,Banglore,Delhi,non-stop,No info,4668,6,12,7,0,9,40,160,29.175,BLR,DEL,None,None,None,None
119,Jet Airways,Delhi,Cochin,1 stop,No info,15554,5,9,7,5,19,0,715,21.753846153846155,DEL,BOM,COK,None,None,None
120,SpiceJet,Banglore,Delhi,non-stop,No info,3971,4,9,5,55,8,35,160,24.81875,BLR,DEL,None,None,None,None
121,Air India,Mumbai,Hyderabad,non-stop,No info,3100,5,3,15,0,16,25,85,36.470588235294116,BOM,HYD,None,None,None,None
122,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,6,20,0,10,5,845,11.435502958579882,CCU,BOM,BLR,None,None,None
123,Air India,Delhi,Cochin,1 stop,No info,27430,3,1,23,0,19,15,1215,22.5761316872428,DEL,BOM,COK,None,None,None
124,IndiGo,Chennai,Kolkata,non-stop,No info,3540,5,12,5,15,7,40,145,24.413793103448278,MAA,CCU,None,None,None,None
125,Air India,Kolkata,Banglore,2 stops,No info,10676,5,21,12,0,11,10,1390,7.680575539568346,CCU,BBI,BOM,BLR,None,None
126,Jet Airways,Kolkata,Banglore,1 stop,No info,13044,6,12,14,5,8,15,1090,11.96697247706422,CCU,BOM,BLR,None,None,None
127,Jet Airways,Kolkata,Banglore,1 stop,No info,14388,5,6,20,0,12,0,960,14.9875,CCU,BOM,BLR,None,None,None
128,IndiGo,Banglore,Delhi,non-stop,No info,3943,6,24,4,0,6,50,170,23.194117647058825,BLR,DEL,None,None,None,None
129,IndiGo,Chennai,Kolkata,non-stop,No info,3597,6,3,14,45,17,5,140,25.692857142857143,MAA,CCU,None,None,None,None
130,Air India,Banglore,New Delhi,1 stop,No info,5932,3,21,11,50,19,50,480,12.358333333333333,BLR,MAA,DEL,None,None,None
131,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,15,11,30,4,25,1015,10.110344827586207,DEL,BOM,COK,None,None,None
132,Vistara,Delhi,Cochin,non-stop,No info,6216,5,12,14,40,17,50,190,32.71578947368421,DEL,COK,None,None,None,None
133,IndiGo,Kolkata,Banglore,non-stop,No info,4804,6,15,20,25,23,10,165,29.115151515151513,CCU,BLR,None,None,None,None
134,Multiple carriers,Delhi,Cochin,1 stop,No info,14067,5,21,11,30,1,30,840,16.74642857142857,DEL,BOM,COK,None,None,None
135,Jet Airways,Delhi,Cochin,2 stops,No info,15129,5,18,19,10,19,0,1430,10.579720279720279,DEL,AMD,BOM,COK,None,None
136,Jet Airways,Delhi,Cochin,2 stops,No info,13376,6,6,6,45,4,25,1300,10.28923076923077,DEL,NAG,BOM,COK,None,None
137,Air India,Delhi,Cochin,2 stops,No info,10441,6,27,22,0,19,15,1275,8.189019607843138,DEL,GOI,BOM,COK,None,None
138,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4030,5,24,6,0,8,45,165,24.424242424242426,BLR,DEL,None,None,None,None
139,Jet Airways,Delhi,Cochin,1 stop,No info,17024,3,3,8,0,18,50,650,26.19076923076923,DEL,BOM,COK,None,None,None
140,Multiple carriers,Delhi,Cochin,1 stop,No info,13017,4,9,17,30,1,30,480,27.11875,DEL,BOM,COK,None,None,None
141,GoAir,Kolkata,Banglore,1 stop,No info,6686,6,6,23,30,7,45,495,13.507070707070707,CCU,BOM,BLR,None,None,None
142,IndiGo,Delhi,Cochin,1 stop,No info,5636,6,15,2,0,7,25,325,17.341538461538462,DEL,MAA,COK,None,None,None
143,IndiGo,Delhi,Cochin,1 stop,No info,6442,6,9,7,35,16,10,515,12.50873786407767,DEL,HYD,COK,None,None,None
144,Multiple carriers,Delhi,Cochin,1 stop,No info,9486,5,21,13,5,0,55,710,13.36056338028169,DEL,HYD,COK,None,None,None
145,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,21,20,0,23,35,1655,6.55226586102719,CCU,BOM,BLR,None,None,None
146,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,15318,6,3,20,0,4,25,505,30.332673267326733,DEL,ATQ,BOM,COK,None,None
147,Air India,Delhi,Cochin,1 stop,No info,5117,4,3,12,30,9,25,1255,4.077290836653386,DEL,MAA,COK,None,None,None
148,IndiGo,Delhi,Cochin,1 stop,No info,6147,6,24,15,10,20,0,290,21.19655172413793,DEL,BLR,COK,None,None,None
149,Multiple carriers,Delhi,Cochin,1 stop,No info,7005,6,9,12,50,21,0,490,14.295918367346939,DEL,BOM,COK,None,None,None
150,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,4,3,22,20,0,40,140,27.664285714285715,CCU,BLR,None,None,None,None
151,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,9270,3,21,18,25,18,50,1465,6.32764505119454,DEL,BDQ,BOM,COK,None,None
152,GoAir,Banglore,Delhi,non-stop,No info,3898,6,27,11,40,14,30,170,22.929411764705883,BLR,DEL,None,None,None,None
153,Jet Airways,Kolkata,Banglore,1 stop,No info,14781,5,12,8,25,20,45,740,19.974324324324325,CCU,BOM,BLR,None,None,None
154,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586,5,24,20,0,8,15,735,11.681632653061225,CCU,BOM,BLR,None,None,None
155,Air India,Kolkata,Banglore,2 stops,No info,10697,5,9,8,20,7,55,1415,7.559717314487632,CCU,JAI,BOM,BLR,None,None
156,Jet Airways,Delhi,Cochin,2 stops,No info,14300,6,27,20,0,12,35,995,14.371859296482413,DEL,ATQ,BOM,COK,None,None
157,IndiGo,Banglore,New Delhi,non-stop,No info,8855,3,3,18,55,21,45,170,52.088235294117645,BLR,DEL,None,None,None,None
158,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,12,16,30,18,15,1545,7.0187702265372165,CCU,BOM,BLR,None,None,None
159,Jet Airways,Delhi,Cochin,1 stop,No info,17024,3,6,2,15,4,25,1570,10.843312101910827,DEL,BOM,COK,None,None,None
160,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9314,5,1,9,35,14,25,1730,5.383815028901734,CCU,DEL,BLR,None,None,None
161,IndiGo,Banglore,New Delhi,non-stop,No info,4777,3,24,0,40,3,25,165,28.951515151515153,BLR,DEL,None,None,None,None
162,Air India,Kolkata,Banglore,1 stop,No info,7662,6,9,12,0,13,15,1515,5.0574257425742575,CCU,BBI,BLR,None,None,None
163,IndiGo,Delhi,Cochin,1 stop,No info,6442,5,9,6,50,16,10,560,11.503571428571428,DEL,HYD,COK,None,None,None
164,SpiceJet,Delhi,Cochin,1 stop,No info,5264,6,12,8,45,13,15,270,19.496296296296297,DEL,PNQ,COK,None,None,None
165,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,5,27,13,0,4,25,925,13.943783783783784,DEL,BOM,COK,None,None,None
166,Air India,Mumbai,Hyderabad,non-stop,No info,6092,3,3,13,55,15,25,90,67.68888888888888,BOM,HYD,None,None,None,None
167,SpiceJet,Banglore,Delhi,non-stop,No info,3311,5,21,5,55,8,35,160,20.69375,BLR,DEL,None,None,None,None
168,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6540,3,27,19,15,4,25,550,11.89090909090909,DEL,BOM,COK,None,None,None
169,IndiGo,Banglore,Delhi,non-stop,No info,3419,5,27,1,30,4,15,165,20.721212121212123,BLR,DEL,None,None,None,None
170,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5177,4,3,14,0,12,35,1355,3.8206642066420664,DEL,BOM,COK,None,None,None
171,Air India,Delhi,Cochin,non-stop,No info,8246,4,18,18,5,21,10,185,44.57297297297297,DEL,COK,None,None,None,None
172,Jet Airways,Kolkata,Banglore,1 stop,No info,14676,6,9,9,35,21,5,690,21.269565217391303,CCU,DEL,BLR,None,None,None
173,Multiple carriers,Delhi,Cochin,1 stop,No info,13587,6,27,11,30,21,0,570,23.83684210526316,DEL,BOM,COK,None,None,None
174,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,6,21,10,9,20,730,13.236986301369862,CCU,BOM,BLR,None,None,None
175,Jet Airways,Kolkata,Banglore,1 stop,No info,13044,6,12,16,30,10,5,1055,12.363981042654029,CCU,BOM,BLR,None,None,None
176,IndiGo,Delhi,Cochin,1 stop,No info,5073,4,3,20,25,1,30,305,16.632786885245903,DEL,BOM,COK,None,None,None
177,Vistara,Kolkata,Banglore,1 stop,No info,9345,5,21,17,0,18,50,1550,6.029032258064516,CCU,DEL,BLR,None,None,None
178,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,6,14,5,10,5,1200,8.0525,CCU,BOM,BLR,None,None,None
179,Multiple carriers,Delhi,Cochin,1 stop,No info,14277,5,21,8,0,21,0,780,18.303846153846155,DEL,BOM,COK,None,None,None
180,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,1,10,0,4,25,1105,9.2868778280543,DEL,BOM,COK,None,None,None
181,Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,3,27,19,35,21,5,90,63.08888888888889,BOM,HYD,None,None,None,None
182,Multiple carriers,Delhi,Cochin,1 stop,No info,13727,5,15,16,0,1,30,570,24.082456140350878,DEL,BOM,COK,None,None,None
183,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,6,20,0,12,0,960,10.065625,CCU,BOM,BLR,None,None,None
184,IndiGo,Chennai,Kolkata,non-stop,No info,3858,5,12,14,45,17,5,140,27.557142857142857,MAA,CCU,None,None,None,None
185,SpiceJet,Delhi,Cochin,1 stop,No info,4812,6,24,8,45,13,15,270,17.822222222222223,DEL,PNQ,COK,None,None,None
186,IndiGo,Delhi,Cochin,1 stop,No info,5775,6,27,21,50,3,35,345,16.73913043478261,DEL,LKO,COK,None,None,None
187,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10539,6,6,9,35,9,45,1450,7.268275862068966,CCU,DEL,BLR,None,None,None
188,IndiGo,Kolkata,Banglore,non-stop,No info,4804,6,3,15,30,18,5,155,30.993548387096773,CCU,BLR,None,None,None,None
189,Air Asia,Banglore,Delhi,non-stop,No info,3383,6,12,11,10,13,55,165,20.503030303030304,BLR,DEL,None,None,None,None
190,IndiGo,Banglore,New Delhi,1 stop,No info,8738,3,3,12,10,17,5,295,29.620338983050846,BLR,HYD,DEL,None,None,None
191,Air India,Delhi,Cochin,1 stop,No info,7165,3,27,5,15,6,50,1535,4.6677524429967425,DEL,TRV,COK,None,None,None
192,IndiGo,Delhi,Cochin,1 stop,No info,6412,6,24,16,10,22,30,380,16.873684210526317,DEL,HYD,COK,None,None,None
193,Jet Airways,Banglore,Delhi,non-stop,No info,8016,6,27,18,55,22,0,185,43.32972972972973,BLR,DEL,None,None,None,None
194,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,3,12,20,35,15,15,1120,9.899107142857142,BLR,BOM,DEL,None,None,None
195,SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,6,27,9,45,12,0,135,26.244444444444444,MAA,CCU,None,None,None,None
