,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute,Airline_encoded,Source_encoded,Destination_encoded,Total_Stops_encoded,Additional_Info_encoded,Route_1_encoded,Route_2_encoded,Route_3_encoded,Route_4_encoded,Route_5_encoded,Route_6_encoded
27,7682,5,15,7,0,12,55,355,21.63943661971831,2,2,1,0,8,3,6,6,10,4,1
28,4668,6,18,9,45,12,35,170,27.458823529411763,10,0,2,4,8,0,10,21,10,4,1
29,3687,6,15,7,5,9,20,135,27.31111111111111,10,1,4,4,8,4,7,21,10,4,1
30,3687,6,18,7,5,9,20,135,27.31111111111111,10,1,4,4,8,4,7,21,10,4,1
31,13227,5,1,9,50,23,15,805,16.431055900621118,1,3,0,1,8,2,11,7,3,4,1
32,4423,4,6,4,0,6,50,170,26.01764705882353,3,0,2,4,8,0,10,21,10,4,1
33,10919,6,15,14,35,12,35,1320,8.271969696969697,4,2,1,1,5,3,29,4,5,4,1
34,12373,5,18,7,5,12,35,330,37.49393939393939,4,2,1,0,5,3,6,6,10,4,1
35,5894,6,27,10,35,21,0,625,9.4304,3,2,1,0,8,3,6,6,10,4,1
36,4649,5,21,15,5,20,20,315,14.75873015873016,8,3,0,0,8,2,28,3,10,4,1
37,6245,5,18,14,15,16,45,150,41.63333333333333,1,3,0,4,8,2,5,21,10,4,1
38,19225,3,6,7,0,13,15,375,51.266666666666666,4,0,5,0,8,0,6,7,10,4,1
39,14924,6,3,7,5,19,0,715,20.87272727272727,4,2,1,0,8,3,6,6,10,4,1
40,9646,5,21,7,5,18,10,665,14.505263157894737,6,2,1,0,8,3,15,6,10,4,1
41,8714,3,15,6,45,15,15,510,17.08627450980392,1,0,5,0,8,0,6,7,10,4,1
42,12373,5,18,20,55,19,0,1325,9.33811320754717,4,2,1,0,5,3,6,6,10,4,1
43,3383,5,6,11,10,13,55,165,20.503030303030304,0,0,2,4,8,0,10,21,10,4,1
44,13062,3,21,9,0,21,0,720,18.141666666666666,6,2,1,0,8,3,6,6,10,4,1
45,3527,3,24,5,45,8,35,170,20.74705882352941,8,0,5,4,7,0,10,21,10,4,1
46,3943,5,27,4,0,6,50,170,23.194117647058825,3,0,2,4,8,0,10,21,10,4,1
47,4667,5,3,11,40,13,55,135,34.57037037037037,1,1,4,4,8,4,7,21,10,4,1
48,6117,5,15,19,0,11,5,965,6.338860103626943,1,3,0,0,8,2,15,3,10,4,1
49,11150,6,27,23,5,19,0,1195,9.330543933054393,4,2,1,1,5,3,0,4,5,4,1
50,7202,3,9,11,0,14,15,195,36.93333333333333,4,2,1,4,5,3,8,21,10,4,1
51,12121,5,1,9,35,10,55,1520,7.974342105263158,4,3,0,0,8,2,10,3,10,4,1
52,4377,3,24,22,20,1,10,170,25.74705882352941,3,0,5,4,8,0,10,21,10,4,1
53,3943,6,18,21,15,0,15,180,21.905555555555555,3,0,2,4,8,0,10,21,10,4,1
54,4483,4,3,23,55,2,45,170,26.370588235294118,0,0,2,4,8,0,10,21,10,4,1
55,14231,3,24,19,45,12,0,975,14.595897435897436,4,3,0,0,8,2,6,3,10,4,1
56,17345,3,1,8,50,23,55,905,19.165745856353592,1,0,5,1,8,0,6,0,6,4,1
57,7414,3,6,7,5,9,20,135,54.91851851851852,10,1,4,4,8,4,7,21,10,4,1
58,8073,5,6,19,0,1,30,390,20.7,6,2,1,0,8,3,6,6,10,4,1
59,12395,3,6,15,40,16,45,1505,8.235880398671096,10,4,3,0,8,1,10,11,10,4,1
60,8366,6,6,9,25,21,50,745,11.229530201342282,1,3,0,0,8,2,6,3,10,4,1
61,5117,4,3,6,5,9,25,1640,3.120121951219512,1,2,1,0,8,3,28,6,10,4,1
62,12524,6,3,8,45,19,0,615,20.364227642276422,6,2,1,0,8,3,6,6,10,4,1
63,7191,5,15,15,0,1,30,630,11.414285714285715,3,2,1,0,8,3,6,6,10,4,1
64,3687,5,24,7,5,9,20,135,27.31111111111111,10,1,4,4,8,4,7,21,10,4,1
65,5894,6,24,10,35,21,0,625,9.4304,3,2,1,0,8,3,6,6,10,4,1
66,5403,4,24,9,45,12,35,170,31.78235294117647,10,0,2,4,8,0,10,21,10,4,1
67,3625,5,6,13,55,15,25,90,40.27777777777778,1,4,3,4,8,1,15,21,10,4,1
68,10861,5,21,5,55,19,15,800,13.57625,1,2,1,1,8,3,4,4,5,4,1
69,6297,3,12,13,20,15,35,135,46.644444444444446,3,1,4,4,8,4,7,21,10,4,1
70,5678,6,1,7,5,8,30,85,66.8,4,4,3,4,8,1,15,21,10,4,1
71,9134,3,9,5,45,8,15,1590,5.744654088050314,4,0,5,0,5,0,6,7,10,4,1
72,10791,6,24,11,40,19,0,440,24.525,6,2,1,0,5,3,6,6,10,4,1
73,12819,6,24,23,5,12,35,810,15.825925925925926,4,2,1,1,8,3,0,4,5,4,1
74,6893,3,21,5,5,10,5,300,22.976666666666667,3,2,1,0,8,3,5,6,10,4,1
75,7240,3,9,9,50,12,35,165,43.878787878787875,10,0,5,4,8,0,10,21,10,4,1
76,3898,4,3,11,40,14,30,170,22.929411764705883,2,0,2,4,8,0,10,21,10,4,1
77,4049,4,3,6,25,7,55,90,44.98888888888889,3,4,3,4,8,1,15,21,10,4,1
78,10262,6,15,17,30,12,35,1145,8.962445414847162,4,2,1,0,5,3,6,6,10,4,1
79,3332,3,21,8,20,10,35,135,24.68148148148148,8,1,4,4,7,4,7,21,10,4,1
80,10844,6,9,21,10,12,0,890,12.184269662921348,4,3,0,0,5,2,6,3,10,4,1
81,7229,3,24,19,55,22,35,160,45.18125,4,0,5,4,8,0,10,21,10,4,1
82,13941,5,6,6,30,4,40,1330,10.481954887218045,4,3,0,0,8,2,6,3,10,4,1
83,5894,6,27,11,25,21,0,575,10.250434782608696,3,2,1,0,8,3,6,6,10,4,1
84,10197,5,18,9,0,19,0,600,16.995,6,2,1,0,8,3,6,6,10,4,1
85,13712,3,6,14,5,11,25,1280,10.7125,4,0,5,0,5,0,6,7,10,4,1
86,5636,6,24,2,0,7,25,325,17.341538461538462,3,2,1,0,8,3,28,6,10,4,1
87,13014,6,6,9,40,4,25,1125,11.568,4,2,1,1,8,3,23,4,5,4,1
88,7064,4,1,8,25,20,45,740,9.545945945945945,4,3,0,0,5,2,6,3,10,4,1
89,10703,5,24,20,25,14,25,1080,9.910185185185185,4,3,0,0,5,2,10,3,10,4,1
90,9646,5,27,13,15,22,30,555,17.38018018018018,6,2,1,0,8,3,15,6,10,4,1
91,17057,3,6,2,15,13,20,665,25.649624060150376,6,2,1,0,8,3,6,6,10,4,1
92,13817,3,12,16,55,10,25,1050,13.15904761904762,4,0,5,0,8,0,6,7,10,4,1
93,13748,3,6,5,55,19,15,800,17.185,1,2,1,1,8,3,4,4,5,4,1
94,4880,4,21,20,45,23,20,155,31.483870967741936,1,3,0,4,8,2,5,21,10,4,1
95,3540,6,21,5,15,7,40,145,24.413793103448278,3,1,4,4,8,4,7,21,10,4,1
96,3257,5,15,5,55,8,35,160,20.35625,8,0,2,4,7,0,10,21,10,4,1
97,6478,6,3,19,50,22,50,180,35.98888888888889,4,0,2,4,5,0,10,21,10,4,1
98,8040,6,18,7,5,8,30,85,94.58823529411765,4,4,3,4,8,1,15,21,10,4,1
99,14300,6,12,20,0,12,35,995,14.371859296482413,4,2,1,1,8,3,1,4,5,4,1
100,14781,5,15,8,25,20,45,740,19.974324324324325,4,3,0,0,8,2,6,3,10,4,1
101,14939,6,9,20,0,8,15,735,20.325170068027212,4,3,0,0,8,2,6,3,10,4,1
102,10262,6,24,20,55,4,25,450,22.804444444444446,4,2,1,0,5,3,6,6,10,4,1
103,6528,5,12,14,35,14,35,1440,4.533333333333333,1,3,0,0,8,2,28,3,10,4,1
104,6121,5,1,6,10,8,55,165,37.096969696969694,1,0,2,4,8,0,10,21,10,4,1
105,13029,5,18,19,30,4,25,535,24.353271028037383,4,2,1,1,5,3,23,4,5,4,1
106,11421,3,27,11,40,18,50,430,26.56046511627907,6,2,1,0,8,3,6,6,10,4,1
107,7574,3,27,4,45,19,15,870,8.705747126436782,6,2,1,0,8,3,6,6,10,4,1
108,11596,5,9,12,55,19,15,1820,6.371428571428571,1,2,1,1,8,3,24,4,5,4,1
109,15129,5,24,23,5,19,0,1195,12.660251046025104,4,2,1,1,8,3,0,4,5,4,1
110,13555,3,18,14,5,5,5,900,15.061111111111112,4,0,5,0,8,0,6,7,10,4,1
111,5780,4,12,18,55,21,50,175,33.02857142857143,3,0,2,4,8,0,10,21,10,4,1
112,9397,5,12,20,20,9,5,765,12.283660130718955,10,3,0,0,8,2,10,3,10,4,1
113,17024,3,6,18,15,4,25,610,27.908196721311477,4,2,1,0,8,3,6,6,10,4,1
114,5281,6,27,7,0,12,55,355,14.87605633802817,2,2,1,0,8,3,6,6,10,4,1
115,10348,5,18,7,5,22,30,925,11.187027027027026,6,2,1,0,8,3,15,6,10,4,1
116,12677,3,6,17,20,9,25,965,13.13678756476684,1,2,1,0,8,3,28,6,10,4,1
117,15147,3,3,15,25,1,35,610,24.831147540983608,6,2,1,0,8,3,6,6,10,4,1
118,4668,6,12,7,0,9,40,160,29.175,10,0,2,4,8,0,10,21,10,4,1
119,15554,5,9,7,5,19,0,715,21.753846153846155,4,2,1,0,8,3,6,6,10,4,1
120,3971,4,9,5,55,8,35,160,24.81875,8,0,2,4,8,0,10,21,10,4,1
121,3100,5,3,15,0,16,25,85,36.470588235294116,1,4,3,4,8,1,15,21,10,4,1
122,9663,5,6,20,0,10,5,845,11.435502958579882,4,3,0,0,5,2,6,3,10,4,1
123,27430,3,1,23,0,19,15,1215,22.5761316872428,1,2,1,0,8,3,6,6,10,4,1
124,3540,5,12,5,15,7,40,145,24.413793103448278,3,1,4,4,8,4,7,21,10,4,1
125,10676,5,21,12,0,11,10,1390,7.680575539568346,1,3,0,1,8,2,2,4,3,4,1
126,13044,6,12,14,5,8,15,1090,11.96697247706422,4,3,0,0,8,2,6,3,10,4,1
127,14388,5,6,20,0,12,0,960,14.9875,4,3,0,0,8,2,6,3,10,4,1
128,3943,6,24,4,0,6,50,170,23.194117647058825,3,0,2,4,8,0,10,21,10,4,1
129,3597,6,3,14,45,17,5,140,25.692857142857143,3,1,4,4,8,4,7,21,10,4,1
130,5932,3,21,11,50,19,50,480,12.358333333333333,1,0,5,0,8,0,28,7,10,4,1
131,10262,6,15,11,30,4,25,1015,10.110344827586207,4,2,1,0,5,3,6,6,10,4,1
132,6216,5,12,14,40,17,50,190,32.71578947368421,10,2,1,4,8,3,8,21,10,4,1
133,4804,6,15,20,25,23,10,165,29.115151515151513,3,3,0,4,8,2,5,21,10,4,1
134,14067,5,21,11,30,1,30,840,16.74642857142857,6,2,1,0,8,3,6,6,10,4,1
135,15129,5,18,19,10,19,0,1430,10.579720279720279,4,2,1,1,8,3,0,4,5,4,1
136,13376,6,6,6,45,4,25,1300,10.28923076923077,4,2,1,1,8,3,29,4,5,4,1
137,10441,6,27,22,0,19,15,1275,8.189019607843138,1,2,1,1,8,3,12,4,5,4,1
138,4030,5,24,6,0,8,45,165,24.424242424242426,4,0,2,4,5,0,10,21,10,4,1
139,17024,3,3,8,0,18,50,650,26.19076923076923,4,2,1,0,8,3,6,6,10,4,1
140,13017,4,9,17,30,1,30,480,27.11875,6,2,1,0,8,3,6,6,10,4,1
141,6686,6,6,23,30,7,45,495,13.507070707070707,2,3,0,0,8,2,6,3,10,4,1
142,5636,6,15,2,0,7,25,325,17.341538461538462,3,2,1,0,8,3,28,6,10,4,1
143,6442,6,9,7,35,16,10,515,12.50873786407767,3,2,1,0,8,3,15,6,10,4,1
144,9486,5,21,13,5,0,55,710,13.36056338028169,6,2,1,0,8,3,15,6,10,4,1
145,10844,5,21,20,0,23,35,1655,6.55226586102719,4,3,0,0,5,2,6,3,10,4,1
146,15318,6,3,20,0,4,25,505,30.332673267326733,4,2,1,1,5,3,1,4,5,4,1
147,5117,4,3,12,30,9,25,1255,4.077290836653386,1,2,1,0,8,3,28,6,10,4,1
148,6147,6,24,15,10,20,0,290,21.19655172413793,3,2,1,0,8,3,5,6,10,4,1
149,7005,6,9,12,50,21,0,490,14.295918367346939,6,2,1,0,8,3,6,6,10,4,1
150,3873,4,3,22,20,0,40,140,27.664285714285715,8,3,0,4,8,2,5,21,10,4,1
151,9270,3,21,18,25,18,50,1465,6.32764505119454,4,2,1,1,5,3,3,4,5,4,1
152,3898,6,27,11,40,14,30,170,22.929411764705883,2,0,2,4,8,0,10,21,10,4,1
153,14781,5,12,8,25,20,45,740,19.974324324324325,4,3,0,0,8,2,6,3,10,4,1
154,8586,5,24,20,0,8,15,735,11.681632653061225,4,3,0,0,5,2,6,3,10,4,1
155,10697,5,9,8,20,7,55,1415,7.559717314487632,1,3,0,1,8,2,23,4,3,4,1
156,14300,6,27,20,0,12,35,995,14.371859296482413,4,2,1,1,8,3,1,4,5,4,1
157,8855,3,3,18,55,21,45,170,52.088235294117645,3,0,5,4,8,0,10,21,10,4,1
158,10844,5,12,16,30,18,15,1545,7.0187702265372165,4,3,0,0,5,2,6,3,10,4,1
159,17024,3,6,2,15,4,25,1570,10.843312101910827,4,2,1,0,8,3,6,6,10,4,1
160,9314,5,1,9,35,14,25,1730,5.383815028901734,4,3,0,0,5,2,10,3,10,4,1
161,4777,3,24,0,40,3,25,165,28.951515151515153,3,0,5,4,8,0,10,21,10,4,1
162,7662,6,9,12,0,13,15,1515,5.0574257425742575,1,3,0,0,8,2,2,3,10,4,1
163,6442,5,9,6,50,16,10,560,11.503571428571428,3,2,1,0,8,3,15,6,10,4,1
164,5264,6,12,8,45,13,15,270,19.496296296296297,8,2,1,0,8,3,32,6,10,4,1
165,12898,5,27,13,0,4,25,925,13.943783783783784,4,2,1,0,5,3,6,6,10,4,1
166,6092,3,3,13,55,15,25,90,67.68888888888888,1,4,3,4,8,1,15,21,10,4,1
167,3311,5,21,5,55,8,35,160,20.69375,8,0,2,4,8,0,10,21,10,4,1
168,6540,3,27,19,15,4,25,550,11.89090909090909,4,2,1,0,5,3,6,6,10,4,1
169,3419,5,27,1,30,4,15,165,20.721212121212123,3,0,2,4,8,0,10,21,10,4,1
170,5177,4,3,14,0,12,35,1355,3.8206642066420664,4,2,1,0,5,3,6,6,10,4,1
171,8246,4,18,18,5,21,10,185,44.57297297297297,1,2,1,4,8,3,8,21,10,4,1
172,14676,6,9,9,35,21,5,690,21.269565217391303,4,3,0,0,8,2,10,3,10,4,1
173,13587,6,27,11,30,21,0,570,23.83684210526316,6,2,1,0,8,3,6,6,10,4,1
174,9663,5,6,21,10,9,20,730,13.236986301369862,4,3,0,0,5,2,6,3,10,4,1
175,13044,6,12,16,30,10,5,1055,12.363981042654029,4,3,0,0,8,2,6,3,10,4,1
176,5073,4,3,20,25,1,30,305,16.632786885245903,3,2,1,0,8,3,6,6,10,4,1
177,9345,5,21,17,0,18,50,1550,6.029032258064516,10,3,0,0,8,2,10,3,10,4,1
178,9663,5,6,14,5,10,5,1200,8.0525,4,3,0,0,5,2,6,3,10,4,1
179,14277,5,21,8,0,21,0,780,18.303846153846155,6,2,1,0,8,3,6,6,10,4,1
180,10262,6,1,10,0,4,25,1105,9.2868778280543,4,2,1,0,5,3,6,6,10,4,1
181,5678,3,27,19,35,21,5,90,63.08888888888889,4,4,3,4,8,1,15,21,10,4,1
182,13727,5,15,16,0,1,30,570,24.082456140350878,6,2,1,0,8,3,6,6,10,4,1
183,9663,5,6,20,0,12,0,960,10.065625,4,3,0,0,5,2,6,3,10,4,1
184,3858,5,12,14,45,17,5,140,27.557142857142857,3,1,4,4,8,4,7,21,10,4,1
185,4812,6,24,8,45,13,15,270,17.822222222222223,8,2,1,0,8,3,32,6,10,4,1
186,5775,6,27,21,50,3,35,345,16.73913043478261,3,2,1,0,8,3,27,6,10,4,1
187,10539,6,6,9,35,9,45,1450,7.268275862068966,4,3,0,0,5,2,10,3,10,4,1
188,4804,6,3,15,30,18,5,155,30.993548387096773,3,3,0,4,8,2,5,21,10,4,1
189,3383,6,12,11,10,13,55,165,20.503030303030304,0,0,2,4,8,0,10,21,10,4,1
190,8738,3,3,12,10,17,5,295,29.620338983050846,3,0,5,0,8,0,15,7,10,4,1
191,7165,3,27,5,15,6,50,1535,4.6677524429967425,1,2,1,0,8,3,35,6,10,4,1
192,6412,6,24,16,10,22,30,380,16.873684210526317,3,2,1,0,8,3,15,6,10,4,1
193,8016,6,27,18,55,22,0,185,43.32972972972973,4,0,2,4,8,0,10,21,10,4,1
194,11087,3,12,20,35,15,15,1120,9.899107142857142,4,0,5,0,5,0,6,7,10,4,1
195,3543,6,27,9,45,12,0,135,26.244444444444444,8,1,4,4,7,4,7,21,10,4,1
196,12471,6,12,16,30,4,40,730,17.083561643835615,4,3,0,0,8,2,6,3,10,4,1
197,10262,6,24,9,0,4,25,1165,8.808583690987124,4,2,1,0,5,3,6,6,10,4,1
198,4441,3,18,13,20,16,10,170,26.123529411764707,1,0,5,4,8,0,10,21,10,4,1
199,12537,3,27,7,5,15,30,505,24.825742574257426,6,2,1,0,8,3,6,6,10,4,1
200,10091,3,24,22,25,7,40,555,18.18198198198198,2,3,0,0,8,2,6,3,10,4,1
201,6961,6,3,21,5,23,55,170,40.94705882352941,1,0,2,4,8,0,10,21,10,4,1
202,5013,4,24,5,35,8,50,195,25.70769230769231,3,2,1,4,8,3,8,21,10,4,1
203,6934,5,18,5,10,8,0,170,40.78823529411765,1,2,1,4,8,3,8,21,10,4,1
204,10877,6,3,6,40,19,0,740,14.698648648648648,6,2,1,0,8,3,6,6,10,4,1
205,7229,4,18,15,15,18,10,175,41.308571428571426,4,0,2,4,8,0,10,21,10,4,1
206,7048,3,27,16,0,1,35,575,12.257391304347825,3,2,1,0,8,3,6,6,10,4,1
207,4878,6,27,17,0,19,35,155,31.470967741935485,10,0,2,4,8,0,10,21,10,4,1
208,10844,5,21,14,5,23,35,570,19.024561403508773,4,3,0,0,5,2,6,3,10,4,1
209,15129,5,18,23,5,4,25,1760,8.596022727272727,4,2,1,1,8,3,0,4,5,4,1
210,3943,5,12,0,30,3,25,175,22.53142857142857,3,0,2,4,8,0,10,21,10,4,1
211,5583,6,6,6,5,11,20,315,17.723809523809525,8,2,1,0,8,3,28,6,10,4,1
212,9646,6,6,7,5,16,10,545,17.699082568807338,6,2,1,0,8,3,15,6,10,4,1
213,7677,6,3,8,30,19,15,645,11.902325581395349,6,2,1,0,8,3,6,6,10,4,1
214,6842,6,1,5,10,10,5,295,23.19322033898305,3,2,1,0,8,3,5,6,10,4,1
215,4995,6,24,8,45,10,15,90,55.5,4,4,3,4,5,1,15,21,10,4,1
216,9555,6,9,7,10,18,50,700,13.65,10,3,0,0,8,2,10,3,10,4,1
217,4077,6,1,1,30,4,15,165,24.70909090909091,3,0,2,4,8,0,10,21,10,4,1
218,7229,5,12,15,15,18,10,175,41.308571428571426,4,0,2,4,8,0,10,21,10,4,1
219,12192,6,9,9,0,19,0,600,20.32,6,2,1,0,8,3,6,6,10,4,1
220,5911,4,12,10,0,12,45,165,35.82424242424243,1,0,2,4,8,0,10,21,10,4,1
221,8372,6,12,9,0,19,15,615,13.613008130081301,1,2,1,0,8,3,6,6,10,4,1
222,4995,3,18,7,10,8,35,85,58.76470588235294,4,4,3,4,5,1,15,21,10,4,1
223,14323,5,9,10,0,19,15,555,25.807207207207206,6,2,1,0,8,3,6,6,10,4,1
224,13014,6,9,5,30,4,25,1375,9.464727272727274,4,2,1,1,8,3,23,4,5,4,1
225,13591,6,6,14,25,19,15,1730,7.85606936416185,1,2,1,1,8,3,7,4,5,4,1
226,18799,3,3,5,25,18,50,2245,8.373719376391982,4,2,1,1,8,3,16,4,5,4,1
227,3943,4,27,23,30,2,20,170,23.194117647058825,3,0,2,4,8,0,10,21,10,4,1
228,1965,5,21,5,45,7,15,90,21.833333333333332,8,4,3,4,7,1,15,21,10,4,1
229,4995,5,27,10,20,11,50,90,55.5,4,4,3,4,5,1,15,21,10,4,1
230,14641,3,24,16,50,18,30,1540,9.507142857142858,1,3,0,0,8,2,6,3,10,4,1
231,4460,4,12,20,45,23,20,155,28.774193548387096,1,3,0,4,8,2,5,21,10,4,1
232,10191,5,18,13,0,19,15,375,27.176,1,2,1,0,8,3,6,6,10,4,1
233,13843,3,9,2,15,19,45,1050,13.183809523809524,4,2,1,0,5,3,6,6,10,4,1
234,6349,5,1,21,50,3,35,345,18.402898550724636,3,2,1,0,8,3,27,6,10,4,1
235,4409,5,1,10,20,12,55,155,28.44516129032258,0,3,0,4,8,2,5,21,10,4,1
236,17024,3,6,18,15,19,45,1530,11.126797385620915,4,2,1,0,8,3,6,6,10,4,1
237,13727,5,18,7,5,21,0,835,16.439520958083833,6,2,1,0,8,3,6,6,10,4,1
238,8855,3,15,18,25,21,20,175,50.6,3,0,5,4,8,0,10,21,10,4,1
239,12524,6,24,8,45,19,0,615,20.364227642276422,6,2,1,0,8,3,6,6,10,4,1
240,13555,3,18,11,40,20,20,520,26.067307692307693,4,0,5,0,8,0,6,7,10,4,1
241,10844,6,6,6,30,12,0,330,32.86060606060606,4,3,0,0,5,2,6,3,10,4,1
242,13587,6,9,9,0,21,0,720,18.870833333333334,6,2,1,0,8,3,6,6,10,4,1
243,3543,6,12,9,45,12,0,135,26.244444444444444,8,1,4,4,7,4,7,21,10,4,1
244,4842,3,18,7,5,9,20,135,35.86666666666667,10,1,4,4,8,4,7,21,10,4,1
245,3943,4,24,23,30,2,20,170,23.194117647058825,3,0,2,4,8,0,10,21,10,4,1
246,10577,6,9,19,15,4,25,550,19.23090909090909,4,2,1,0,5,3,6,6,10,4,1
247,6979,5,15,10,35,21,0,625,11.1664,3,2,1,0,8,3,6,6,10,4,1
248,11982,6,27,17,45,20,5,140,85.58571428571429,10,1,4,4,8,4,7,21,10,4,1
249,5264,6,6,8,45,13,15,270,19.496296296296297,8,2,1,0,8,3,32,6,10,4,1
250,8001,3,3,6,0,9,10,190,42.11052631578947,10,2,1,4,8,3,8,21,10,4,1
251,10651,6,1,19,45,19,15,1410,7.5539007092198585,1,2,1,1,8,3,0,4,5,4,1
252,10844,5,24,16,30,19,50,1640,6.61219512195122,4,3,0,0,5,2,6,3,10,4,1
253,6601,3,27,9,45,22,20,755,8.743046357615894,6,2,1,0,8,3,15,6,10,4,1
254,6587,3,21,19,0,19,15,1455,4.527147766323024,1,2,1,0,8,3,6,6,10,4,1
255,3173,3,21,13,10,14,30,80,39.6625,8,4,3,4,8,1,15,21,10,4,1
256,5228,5,9,10,0,12,45,165,31.684848484848484,1,0,2,4,8,0,10,21,10,4,1
257,5769,6,21,7,10,10,10,180,32.05,4,0,2,4,5,0,10,21,10,4,1
258,14714,6,6,8,0,19,0,660,22.293939393939393,4,2,1,0,8,3,6,6,10,4,1
259,13014,6,3,5,30,19,0,810,16.066666666666666,4,2,1,1,8,3,23,4,5,4,1
260,3359,6,3,22,10,1,0,170,19.758823529411764,3,0,2,4,8,0,10,21,10,4,1
261,6722,3,3,20,55,23,50,175,38.41142857142857,2,0,5,4,8,0,10,21,10,4,1
262,4462,3,18,9,35,12,20,165,27.042424242424243,3,3,0,4,8,2,5,21,10,4,1
263,6171,3,9,4,55,16,10,675,9.142222222222221,3,2,1,0,8,3,15,6,10,4,1
264,12303,5,21,5,50,20,25,875,14.060571428571428,1,3,0,1,8,2,20,7,3,4,1
265,7695,3,21,11,40,1,35,835,9.215568862275449,6,2,1,0,8,3,6,6,10,4,1
266,5684,6,24,11,25,1,30,845,6.726627218934912,3,2,1,0,8,3,6,6,10,4,1
267,8366,6,12,16,50,7,55,905,9.244198895027624,1,3,0,0,8,2,6,3,10,4,1
268,19630,3,1,11,40,13,55,135,145.40740740740742,1,1,4,4,8,4,7,21,10,4,1
269,13502,3,6,14,5,5,5,900,15.002222222222223,4,0,5,0,5,0,6,7,10,4,1
270,14781,5,1,21,10,10,5,775,19.072258064516127,4,3,0,0,8,2,6,3,10,4,1
271,6513,6,12,7,10,16,10,540,12.061111111111112,6,2,1,0,8,3,15,6,10,4,1
272,9929,6,1,7,0,19,15,735,13.508843537414966,1,2,1,0,8,3,6,6,10,4,1
273,18275,6,6,17,50,1,30,460,39.72826086956522,6,2,1,1,8,3,21,4,5,4,1
274,4487,4,9,6,5,9,25,1640,2.7359756097560974,1,2,1,0,8,3,28,6,10,4,1
275,2754,3,15,21,20,22,45,85,32.4,3,4,3,4,8,1,15,21,10,4,1
276,2575,3,27,6,20,7,40,80,32.1875,1,4,3,4,8,1,15,21,10,4,1
277,8224,6,12,15,55,21,25,330,24.921212121212122,8,3,0,0,8,2,18,3,10,4,1
278,8991,3,9,20,30,8,15,705,12.753191489361702,1,2,1,0,8,3,5,6,10,4,1
