,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute
61,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5117,4,3,6,5,9,25,1640,3.120121951219512
62,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12524,6,3,8,45,19,0,615,20.364227642276422
63,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7191,5,15,15,0,1,30,630,11.414285714285715
64,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,5,24,7,5,9,20,135,27.31111111111111
65,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5894,6,24,10,35,21,0,625,9.4304
66,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,5403,4,24,9,45,12,35,170,31.78235294117647
67,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3625,5,6,13,55,15,25,90,40.27777777777778
68,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,2 stops,No info,10861,5,21,5,55,19,15,800,13.57625
69,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,6297,3,12,13,20,15,35,135,46.644444444444446
70,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,6,1,7,5,8,30,85,66.8
71,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,9134,3,9,5,45,8,15,1590,5.744654088050314
72,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10791,6,24,11,40,19,0,440,24.525
73,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,12819,6,24,23,5,12,35,810,15.825925925925926
74,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,6893,3,21,5,5,10,5,300,22.976666666666667
75,Vistara,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7240,3,9,9,50,12,35,165,43.878787878787875
76,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,3898,4,3,11,40,14,30,170,22.929411764705883
77,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4049,4,3,6,25,7,55,90,44.98888888888889
78,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,15,17,30,12,35,1145,8.962445414847162
79,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No check-in baggage included,3332,3,21,8,20,10,35,135,24.68148148148148
80,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,6,9,21,10,12,0,890,12.184269662921348
81,Jet Airways,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7229,3,24,19,55,22,35,160,45.18125
82,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13941,5,6,6,30,4,40,1330,10.481954887218045
83,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5894,6,27,11,25,21,0,575,10.250434782608696
84,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10197,5,18,9,0,19,0,600,16.995
85,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,13712,3,6,14,5,11,25,1280,10.7125
86,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5636,6,24,2,0,7,25,325,17.341538461538462
87,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,No info,13014,6,6,9,40,4,25,1125,11.568
88,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7064,4,1,8,25,20,45,740,9.545945945945945
89,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10703,5,24,20,25,14,25,1080,9.910185185185185
90,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9646,5,27,13,15,22,30,555,17.38018018018018
91,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17057,3,6,2,15,13,20,665,25.649624060150376
92,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,13817,3,12,16,55,10,25,1050,13.15904761904762
93,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,2 stops,No info,13748,3,6,5,55,19,15,800,17.185
94,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4880,4,21,20,45,23,20,155,31.483870967741936
95,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3540,6,21,5,15,7,40,145,24.413793103448278
96,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No check-in baggage included,3257,5,15,5,55,8,35,160,20.35625
97,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,6478,6,3,19,50,22,50,180,35.98888888888889
98,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,8040,6,18,7,5,8,30,85,94.58823529411765
99,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,No info,14300,6,12,20,0,12,35,995,14.371859296482413
100,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,5,15,8,25,20,45,740,19.974324324324325
101,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14939,6,9,20,0,8,15,735,20.325170068027212
102,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,24,20,55,4,25,450,22.804444444444446
103,Air India,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,6528,5,12,14,35,14,35,1440,4.533333333333333
104,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6121,5,1,6,10,8,55,165,37.096969696969694
105,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,13029,5,18,19,30,4,25,535,24.353271028037383
106,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,11421,3,27,11,40,18,50,430,26.56046511627907
107,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7574,3,27,4,45,19,15,870,8.705747126436782
108,Air India,Delhi,Cochin,DEL ? JDH ? BOM ? COK,2 stops,No info,11596,5,9,12,55,19,15,1820,6.371428571428571
109,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,15129,5,24,23,5,19,0,1195,12.660251046025104
110,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,13555,3,18,14,5,5,5,900,15.061111111111112
111,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,5780,4,12,18,55,21,50,175,33.02857142857143
112,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,9397,5,12,20,20,9,5,765,12.283660130718955
113,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17024,3,6,18,15,4,25,610,27.908196721311477
114,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5281,6,27,7,0,12,55,355,14.87605633802817
115,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,10348,5,18,7,5,22,30,925,11.187027027027026
116,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,12677,3,6,17,20,9,25,965,13.13678756476684
117,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15147,3,3,15,25,1,35,610,24.831147540983608
118,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4668,6,12,7,0,9,40,160,29.175
119,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15554,5,9,7,5,19,0,715,21.753846153846155
120,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,3971,4,9,5,55,8,35,160,24.81875
121,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3100,5,3,15,0,16,25,85,36.470588235294116
122,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,20,0,10,5,845,11.435502958579882
123,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,27430,3,1,23,0,19,15,1215,22.5761316872428
124,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3540,5,12,5,15,7,40,145,24.413793103448278
125,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,2 stops,No info,10676,5,21,12,0,11,10,1390,7.680575539568346
126,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13044,6,12,14,5,8,15,1090,11.96697247706422
127,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14388,5,6,20,0,12,0,960,14.9875
128,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,6,24,4,0,6,50,170,23.194117647058825
129,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,6,3,14,45,17,5,140,25.692857142857143
130,Air India,Banglore,New Delhi,BLR ? MAA ? DEL,1 stop,No info,5932,3,21,11,50,19,50,480,12.358333333333333
131,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,15,11,30,4,25,1015,10.110344827586207
132,Vistara,Delhi,Cochin,DEL ? COK,non-stop,No info,6216,5,12,14,40,17,50,190,32.71578947368421
133,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,6,15,20,25,23,10,165,29.115151515151513
134,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14067,5,21,11,30,1,30,840,16.74642857142857
135,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,15129,5,18,19,10,19,0,1430,10.579720279720279
136,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,2 stops,No info,13376,6,6,6,45,4,25,1300,10.28923076923077
137,Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,2 stops,No info,10441,6,27,22,0,19,15,1275,8.189019607843138
138,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,4030,5,24,6,0,8,45,165,24.424242424242426
139,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17024,3,3,8,0,18,50,650,26.19076923076923
140,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13017,4,9,17,30,1,30,480,27.11875
141,GoAir,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,6686,6,6,23,30,7,45,495,13.507070707070707
142,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5636,6,15,2,0,7,25,325,17.341538461538462
143,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6442,6,9,7,35,16,10,515,12.50873786407767
144,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9486,5,21,13,5,0,55,710,13.36056338028169
145,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,21,20,0,23,35,1655,6.55226586102719
146,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,In-flight meal not included,15318,6,3,20,0,4,25,505,30.332673267326733
147,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5117,4,3,12,30,9,25,1255,4.077290836653386
148,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,6147,6,24,15,10,20,0,290,21.19655172413793
149,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7005,6,9,12,50,21,0,490,14.295918367346939
150,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,4,3,22,20,0,40,140,27.664285714285715
151,Jet Airways,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,2 stops,In-flight meal not included,9270,3,21,18,25,18,50,1465,6.32764505119454
152,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,3898,6,27,11,40,14,30,170,22.929411764705883
153,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,5,12,8,25,20,45,740,19.974324324324325
154,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,5,24,20,0,8,15,735,11.681632653061225
155,Air India,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,2 stops,No info,10697,5,9,8,20,7,55,1415,7.559717314487632
156,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,No info,14300,6,27,20,0,12,35,995,14.371859296482413
157,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,8855,3,3,18,55,21,45,170,52.088235294117645
158,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,12,16,30,18,15,1545,7.0187702265372165
159,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,17024,3,6,2,15,4,25,1570,10.843312101910827
160,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,9314,5,1,9,35,14,25,1730,5.383815028901734
161,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4777,3,24,0,40,3,25,165,28.951515151515153
162,Air India,Kolkata,Banglore,CCU ? BBI ? BLR,1 stop,No info,7662,6,9,12,0,13,15,1515,5.0574257425742575
163,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6442,5,9,6,50,16,10,560,11.503571428571428
164,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,1 stop,No info,5264,6,12,8,45,13,15,270,19.496296296296297
165,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,5,27,13,0,4,25,925,13.943783783783784
166,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,6092,3,3,13,55,15,25,90,67.68888888888888
167,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,3311,5,21,5,55,8,35,160,20.69375
168,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6540,3,27,19,15,4,25,550,11.89090909090909
169,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3419,5,27,1,30,4,15,165,20.721212121212123
170,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,5177,4,3,14,0,12,35,1355,3.8206642066420664
171,Air India,Delhi,Cochin,DEL ? COK,non-stop,No info,8246,4,18,18,5,21,10,185,44.57297297297297
172,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,14676,6,9,9,35,21,5,690,21.269565217391303
173,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13587,6,27,11,30,21,0,570,23.83684210526316
174,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,21,10,9,20,730,13.236986301369862
175,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13044,6,12,16,30,10,5,1055,12.363981042654029
176,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5073,4,3,20,25,1,30,305,16.632786885245903
177,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,9345,5,21,17,0,18,50,1550,6.029032258064516
178,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,14,5,10,5,1200,8.0525
179,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14277,5,21,8,0,21,0,780,18.303846153846155
180,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,1,10,0,4,25,1105,9.2868778280543
181,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,3,27,19,35,21,5,90,63.08888888888889
182,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13727,5,15,16,0,1,30,570,24.082456140350878
183,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,20,0,12,0,960,10.065625
184,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3858,5,12,14,45,17,5,140,27.557142857142857
185,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,1 stop,No info,4812,6,24,8,45,13,15,270,17.822222222222223
186,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,1 stop,No info,5775,6,27,21,50,3,35,345,16.73913043478261
187,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10539,6,6,9,35,9,45,1450,7.268275862068966
188,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,6,3,15,30,18,5,155,30.993548387096773
189,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,3383,6,12,11,10,13,55,165,20.503030303030304
190,IndiGo,Banglore,New Delhi,BLR ? HYD ? DEL,1 stop,No info,8738,3,3,12,10,17,5,295,29.620338983050846
191,Air India,Delhi,Cochin,DEL ? TRV ? COK,1 stop,No info,7165,3,27,5,15,6,50,1535,4.6677524429967425
192,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6412,6,24,16,10,22,30,380,16.873684210526317
193,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,8016,6,27,18,55,22,0,185,43.32972972972973
194,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,11087,3,12,20,35,15,15,1120,9.899107142857142
195,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No check-in baggage included,3543,6,27,9,45,12,0,135,26.244444444444444
196,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,12471,6,12,16,30,4,40,730,17.083561643835615
197,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,24,9,0,4,25,1165,8.808583690987124
198,Air India,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4441,3,18,13,20,16,10,170,26.123529411764707
199,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12537,3,27,7,5,15,30,505,24.825742574257426
200,GoAir,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,10091,3,24,22,25,7,40,555,18.18198198198198
201,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6961,6,3,21,5,23,55,170,40.94705882352941
202,IndiGo,Delhi,Cochin,DEL ? COK,non-stop,No info,5013,4,24,5,35,8,50,195,25.70769230769231
203,Air India,Delhi,Cochin,DEL ? COK,non-stop,No info,6934,5,18,5,10,8,0,170,40.78823529411765
204,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10877,6,3,6,40,19,0,740,14.698648648648648
205,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,7229,4,18,15,15,18,10,175,41.308571428571426
206,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7048,3,27,16,0,1,35,575,12.257391304347825
207,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4878,6,27,17,0,19,35,155,31.470967741935485
208,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,21,14,5,23,35,570,19.024561403508773
209,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,15129,5,18,23,5,4,25,1760,8.596022727272727
